model,feature,importance
logistic_regression,boolean__antibiotics,12.880048
logistic_regression,boolean__fever,10.783117
logistic_regression,boolean__current_medication,10.500651
logistic_regression,boolean__recent_illness,7.354925
logistic_regression,boolean__chronic_condition_reported,5.460305
logistic_regression,boolean__recent_dental_procedure,4.899826
logistic_regression,categorical__pregnancy_status_yes,4.23036
logistic_regression,boolean__recent_tattoo_or_piercing,4.080166
logistic_regression,boolean__recent_surgery,3.550544
logistic_regression,boolean__recent_blood_transfusion,3.026659
logistic_regression,categorical__pregnancy_status_unknown,2.347881
logistic_regression,categorical__pregnancy_status_not_applicable,0.930339
logistic_regression,categorical__pregnancy_status_no,0.92362
logistic_regression,numeric__hemoglobin_value,0.282641
logistic_regression,boolean__hemoglobin_known,0.190919
logistic_regression,numeric__weight_kg,0.025364
logistic_regression,numeric__days_since_last_donation,0.002159
logistic_regression,numeric__age,0.001332
logistic_regression_balanced,boolean__current_medication,17.793946
logistic_regression_balanced,boolean__antibiotics,12.611359
logistic_regression_balanced,boolean__recent_illness,12.02298
logistic_regression_balanced,boolean__fever,10.630923
logistic_regression_balanced,boolean__chronic_condition_reported,8.554668
logistic_regression_balanced,boolean__recent_dental_procedure,7.640715
logistic_regression_balanced,boolean__recent_tattoo_or_piercing,6.074793
logistic_regression_balanced,boolean__recent_surgery,5.028191
logistic_regression_balanced,categorical__pregnancy_status_yes,4.397071
logistic_regression_balanced,boolean__recent_blood_transfusion,4.113375
logistic_regression_balanced,categorical__pregnancy_status_unknown,2.935374
logistic_regression_balanced,categorical__pregnancy_status_not_applicable,0.891869
logistic_regression_balanced,categorical__pregnancy_status_no,0.879435
logistic_regression_balanced,numeric__hemoglobin_value,0.263399
logistic_regression_balanced,boolean__hemoglobin_known,0.194927
logistic_regression_balanced,numeric__weight_kg,0.028418
logistic_regression_balanced,numeric__days_since_last_donation,0.00231
logistic_regression_balanced,numeric__age,0.001056
decision_tree,numeric__age,0.146003
decision_tree,numeric__days_since_last_donation,0.136895
decision_tree,numeric__weight_kg,0.120674
decision_tree,boolean__antibiotics,0.107917
decision_tree,boolean__fever,0.09918
decision_tree,boolean__current_medication,0.055774
decision_tree,boolean__recent_illness,0.05308
decision_tree,categorical__pregnancy_status_yes,0.047911
decision_tree,boolean__chronic_condition_reported,0.04726
decision_tree,boolean__recent_dental_procedure,0.040039
decision_tree,numeric__hemoglobin_value,0.036614
decision_tree,boolean__recent_tattoo_or_piercing,0.034995
decision_tree,boolean__recent_surgery,0.03253
decision_tree,boolean__recent_blood_transfusion,0.024273
decision_tree,categorical__pregnancy_status_unknown,0.016855
decision_tree,boolean__hemoglobin_known,0.0
decision_tree,categorical__pregnancy_status_no,0.0
decision_tree,categorical__pregnancy_status_not_applicable,0.0
decision_tree_balanced,numeric__days_since_last_donation,0.134625
decision_tree_balanced,numeric__age,0.123964
decision_tree_balanced,numeric__weight_kg,0.110004
decision_tree_balanced,boolean__antibiotics,0.093755
decision_tree_balanced,boolean__current_medication,0.091624
decision_tree_balanced,boolean__fever,0.084324
decision_tree_balanced,boolean__recent_illness,0.067494
decision_tree_balanced,boolean__chronic_condition_reported,0.059355
decision_tree_balanced,boolean__recent_dental_procedure,0.050281
decision_tree_balanced,numeric__hemoglobin_value,0.04542
decision_tree_balanced,boolean__recent_tattoo_or_piercing,0.039975
decision_tree_balanced,boolean__recent_surgery,0.030581
decision_tree_balanced,categorical__pregnancy_status_yes,0.030112
decision_tree_balanced,boolean__recent_blood_transfusion,0.022754
decision_tree_balanced,categorical__pregnancy_status_unknown,0.015732
decision_tree_balanced,categorical__pregnancy_status_not_applicable,0.0
decision_tree_balanced,boolean__hemoglobin_known,0.0
decision_tree_balanced,categorical__pregnancy_status_no,0.0
random_forest,numeric__days_since_last_donation,0.174486
random_forest,numeric__age,0.147614
random_forest,boolean__antibiotics,0.120603
random_forest,numeric__weight_kg,0.112204
random_forest,boolean__fever,0.099493
random_forest,boolean__current_medication,0.064219
random_forest,boolean__chronic_condition_reported,0.047469
random_forest,boolean__recent_illness,0.045099
random_forest,boolean__recent_dental_procedure,0.032613
random_forest,numeric__hemoglobin_value,0.031142
random_forest,categorical__pregnancy_status_yes,0.030101
random_forest,boolean__recent_tattoo_or_piercing,0.029521
random_forest,boolean__recent_surgery,0.026403
random_forest,boolean__recent_blood_transfusion,0.019832
random_forest,categorical__pregnancy_status_unknown,0.010307
random_forest,categorical__pregnancy_status_not_applicable,0.00451
random_forest,categorical__pregnancy_status_no,0.003689
random_forest,boolean__hemoglobin_known,0.000696
random_forest_balanced,numeric__days_since_last_donation,0.152113
random_forest_balanced,numeric__age,0.110603
random_forest_balanced,numeric__weight_kg,0.10429
random_forest_balanced,boolean__antibiotics,0.101539
random_forest_balanced,boolean__current_medication,0.101398
random_forest_balanced,boolean__fever,0.083791
random_forest_balanced,boolean__recent_illness,0.06654
random_forest_balanced,boolean__chronic_condition_reported,0.057702
random_forest_balanced,boolean__recent_dental_procedure,0.048566
random_forest_balanced,numeric__hemoglobin_value,0.042015
random_forest_balanced,boolean__recent_tattoo_or_piercing,0.037014
random_forest_balanced,boolean__recent_surgery,0.029955
random_forest_balanced,categorical__pregnancy_status_yes,0.02215
random_forest_balanced,boolean__recent_blood_transfusion,0.021484
random_forest_balanced,categorical__pregnancy_status_unknown,0.011953
random_forest_balanced,categorical__pregnancy_status_no,0.00516
random_forest_balanced,categorical__pregnancy_status_not_applicable,0.003346
random_forest_balanced,boolean__hemoglobin_known,0.000379
